CNTRY,admin1,admin2,CITYID,bed10,bed20,pop10,pop20,rate
대한민국,서울,종로구,KR01001,,2989 ,170578 ,149384 ,-12.42%
대한민국,서울,중구,KR01002,,1179 ,132822 ,125240 ,-5.71%
대한민국,서울,용산구,KR01003,,831 ,244853 ,230040 ,-6.05%
대한민국,서울,성동구,KR01004,,1624 ,309093 ,293556 ,-5.03%
대한민국,서울,광진구,KR01005,,2136 ,375463 ,346682 ,-7.67%
대한민국,서울,동대문구,KR01006,,4519 ,366786 ,342837 ,-6.53%
대한민국,서울,중랑구,KR01007,,2780 ,427455 ,394702 ,-7.66%
대한민국,서울,성북구,KR01008,,3319 ,488932 ,437153 ,-10.59%
대한민국,서울,강북구,KR01009,,2293 ,346520 ,308055 ,-11.10%
대한민국,서울,도봉구,KR01010,,1709 ,368298 ,325257 ,-11.69%
대한민국,서울,노원구,KR01011,,3128 ,611230 ,523037 ,-14.43%
대한민국,서울,은평구,KR01012,,3171 ,488109 ,479835 ,-1.70%
대한민국,서울,서대문구,KR01013,,3248 ,324541 ,312173 ,-3.81%
대한민국,서울,마포구,KR01014,,693 ,391865 ,371890 ,-5.10%
대한민국,서울,양천구,KR01015,,2530 ,500001 ,454251 ,-9.15%
대한민국,서울,강서구,KR01016,,3848 ,574127 ,580185 ,1.06%
대한민국,서울,구로구,KR01017,,3910 ,423736 ,404408 ,-4.56%
대한민국,서울,금천구,KR01018,,1578 ,245195 ,231733 ,-5.49%
대한민국,서울,영등포구,KR01019,,5247 ,406833 ,379480 ,-6.72%
대한민국,서울,동작구,KR01020,,2475 ,402709 ,391220 ,-2.85%
대한민국,서울,관악구,KR01021,,2161 ,531434 ,495060 ,-6.84%
대한민국,서울,서초구,KR01022,,3051 ,434720 ,425126 ,-2.21%
대한민국,서울,강남구,KR01023,,7324 ,570095 ,539231 ,-5.41%
대한민국,서울,송파구,KR01024,,6103 ,685279 ,667960 ,-2.53%
대한민국,서울,강동구,KR01025,,4948 ,491871 ,459970 ,-6.49%
대한민국,부산,중구,KR02001,,1603 ,49442 ,41523 ,-16.02%
대한민국,부산,서구,KR02002,,4736 ,126040 ,108135 ,-14.21%
대한민국,부산,동구,KR02003,,2745 ,101514 ,88901 ,-12.42%
대한민국,부산,영도구,KR02004,,1919 ,146798 ,113342 ,-22.79%
대한민국,부산,부산진구,KR02005,,7103 ,395826 ,359886 ,-9.08%
대한민국,부산,동래구,KR02006,,5578 ,282779 ,270745 ,-4.26%
대한민국,부산,남구,KR02007,,2751 ,298458 ,267731 ,-10.30%
대한민국,부산,북구,KR02008,,4166 ,312218 ,283952 ,-9.05%
대한민국,부산,해운대구,KR02009,,5276 ,426729 ,402169 ,-5.76%
대한민국,부산,사하구,KR02010,,6539 ,358730 ,311757 ,-13.09%
대한민국,부산,금정구,KR02011,,4981 ,255419 ,232666 ,-8.91%
대한민국,부산,강서구,KR02012,,489 ,62594 ,137957 ,120.40%
대한민국,부산,연제구,KR02013,,4191 ,212696 ,209157 ,-1.66%
대한민국,부산,수영구,KR02014,,4122 ,178267 ,176894 ,-0.77%
대한민국,부산,사상구,KR02015,,4662 ,257843 ,212586 ,-17.55%
대한민국,부산,기장군,KR02016,,1689 ,102557 ,174545 ,70.19%
대한민국,대구,중구,KR03001,,3079 ,77857 ,76547 ,-1.68%
대한민국,대구,동구,KR03002,,3524 ,337529 ,341920 ,1.30%
대한민국,대구,서구,KR03003,,3369 ,224618 ,170700 ,-24.00%
대한민국,대구,남구,KR03004,,4643 ,171197 ,146632 ,-14.35%
대한민국,대구,북구,KR03005,,5958 ,452505 ,440263 ,-2.71%
대한민국,대구,수성구,KR03006,,3539 ,461988 ,424314 ,-8.15%
대한민국,대구,달서구,KR03007,,7842 ,607083 ,558631 ,-7.98%
대한민국,대구,달성군,KR03008,,2205 ,178899 ,259339 ,44.96%
대한민국,인천,중구,KR04009,,1878 ,92890 ,139729 ,50.42%
대한민국,인천,동구,KR04010,,702 ,79663 ,62542 ,-21.49%
대한민국,인천,미추홀구,KR04011,,5100 ,423876 ,404343 ,-4.61%
대한민국,인천,연수구,KR04012,,1785 ,279230 ,387450 ,38.76%
대한민국,인천,남동구,KR04013,,6133 ,473423 ,525354 ,10.97%
대한민국,인천,부평구,KR04014,,3954 ,567493 ,494962 ,-12.78%
대한민국,인천,계양구,KR04015,,3197 ,347810 ,296750 ,-14.68%
대한민국,인천,서구,KR04016,,5090 ,408068 ,542040 ,32.83%
대한민국,인천,강화군,KR04017,,677 ,67104 ,69203 ,3.13%
대한민국,인천,옹진군,KR04018,,74 ,18739 ,20455 ,9.16%
대한민국,광주,동구,KR05001,,4879 ,104449 ,102897 ,-1.49%
대한민국,광주,서구,KR05002,,4619 ,303219 ,296576 ,-2.19%
대한민국,광주,남구,KR05003,,5272 ,216863 ,214579 ,-1.05%
대한민국,광주,북구,KR05004,,9239 ,466866 ,430431 ,-7.80%
대한민국,광주,광산구,KR05005,,7776 ,363239 ,405579 ,11.66%
대한민국,대전,동구,KR06006,,3265 ,248835 ,223021 ,-10.37%
대한민국,대전,중구,KR06007,,5025 ,265846 ,235550 ,-11.40%
대한민국,대전,서구,KR06008,,6357 ,499742 ,477880 ,-4.37%
대한민국,대전,유성구,KR06009,,3993 ,281692 ,351047 ,24.62%
대한민국,대전,대덕구,KR06010,,2231 ,207549 ,176384 ,-15.02%
