CNTRY,admin1,admin2,emp10,emp20,pop10,pop20,rate
한국,서울특별시,종로구,188541,284570,170578,149384,-12.42%
한국,서울특별시,중구,332508,408064,132822,125240,-5.71%
한국,서울특별시,용산구,100372,154288,244853,230040,-6.05%
한국,서울특별시,성동구,110534,196377,309093,293556,-5.03%
한국,서울특별시,광진구,94993,134230,375463,346682,-7.67%
한국,서울특별시,동대문구,97180,148308,366786,342837,-6.53%
한국,서울특별시,중랑구,59395,111086,427455,394702,-7.66%
한국,서울특별시,성북구,71765,121798,488932,437153,-10.59%
한국,서울특별시,강북구,46101,83276,346520,308055,-11.10%
한국,서울특별시,도봉구,41092,79429,368298,325257,-11.69%
한국,서울특별시,노원구,73390,127454,611230,523037,-14.43%
한국,서울특별시,은평구,51364,108362,488109,479835,-1.70%
한국,서울특별시,서대문구,68763,120347,324541,312173,-3.81%
한국,서울특별시,마포구,180104,285083,391865,371890,-5.10%
한국,서울특별시,양천구,81868,130371,500001,454251,-9.15%
한국,서울특별시,강서구,129593,280238,574127,580185,1.06%
한국,서울특별시,구로구,152923,239168,423736,404408,-4.56%
한국,서울특별시,금천구,168494,262665,245195,231733,-5.49%
한국,서울특별시,영등포구,287551,434698,406833,379480,-6.72%
한국,서울특별시,동작구,79208,110642,402709,391220,-2.85%
한국,서울특별시,관악구,73183,135681,531434,495060,-6.84%
한국,서울특별시,서초구,370572,497678,434720,425126,-2.21%
한국,서울특별시,강남구,612544,838446,570095,539231,-5.41%
한국,서울특별시,송파구,217922,411898,685279,667960,-2.53%
한국,서울특별시,강동구,86805,164769,491871,459970,-6.49%
한국,부산광역시,중구,53901,67285,49442,41523,-16.02%
한국,부산광역시,서구,30087,46854,126040,108135,-14.21%
한국,부산광역시,동구,56943,77434,101514,88901,-12.42%
한국,부산광역시,영도구,28114,45666,146798,113342,-22.79%
한국,부산광역시,부산진구,110107,171416,395826,359886,-9.08%
한국,부산광역시,동래구,58418,99318,282779,270745,-4.26%
한국,부산광역시,남구,50031,94930,298458,267731,-10.30%
한국,부산광역시,북구,33751,65826,312218,283952,-9.05%
한국,부산광역시,해운대구,69364,153110,426729,402169,-5.76%
한국,부산광역시,사하구,82210,113433,358730,311757,-13.09%
한국,부산광역시,금정구,62187,100717,255419,232666,-8.91%
한국,부산광역시,강서구,66858,141740,62594,137957,120.40%
한국,부산광역시,연제구,61696,97589,212696,209157,-1.66%
한국,부산광역시,수영구,32667,61131,178267,176894,-0.77%
한국,부산광역시,사상구,98145,125635,257843,212586,-17.55%
한국,부산광역시,기장군,28377,75197,102557,174545,70.19%
한국,대구광역시,중구,59571,89422,77857,76547,-1.68%
한국,대구광역시,동구,62986,130028,337529,341920,1.30%
한국,대구광역시,서구,53152,78006,224618,170700,-24.00%
한국,대구광역시,남구,29800,57618,171197,146632,-14.35%
한국,대구광역시,북구,96897,174207,452505,440263,-2.71%
한국,대구광역시,수성구,85660,147187,461988,424314,-8.15%
한국,대구광역시,달서구,148698,219325,607083,558631,-7.98%
한국,대구광역시,달성군,47622,114764,178899,259339,44.96%
한국,인천광역시,중구,51452,115297,92890,139729,50.42%
한국,인천광역시,동구,25136,41273,79663,62542,-21.49%
한국,인천광역시,남구/미추홀구,76529,134996,423876,404343,-4.61%
한국,인천광역시,연수구,42707,136317,279230,387450,38.76%
한국,인천광역시,남동구,158783,253095,473423,525354,10.97%
한국,인천광역시,부평구,115064,168598,567493,494962,-12.78%
한국,인천광역시,계양구,51898,94607,347810,296750,-14.68%
한국,인천광역시,서구,109392,230285,408068,542040,32.83%
한국,인천광역시,강화군,9970,25600,67104,69203,3.13%
한국,인천광역시,옹진군,2143,8201,18739,20455,9.16%
한국,광주광역시,동구,45961,70829,104449,102897,-1.49%
한국,광주광역시,서구,95468,164443,303219,296576,-2.19%
한국,광주광역시,남구,36995,73437,216863,214579,-1.05%
한국,광주광역시,북구,109888,178910,466866,430431,-7.80%
한국,광주광역시,광산구,101582,179816,363239,405579,11.66%
한국,대전광역시,동구,46237,82614,248835,223021,-10.37%
한국,대전광역시,중구,60976,101269,265846,235550,-11.40%
한국,대전광역시,서구,112418,199068,499742,477880,-4.37%
한국,대전광역시,유성구,87536,201887,281692,351047,24.62%
한국,대전광역시,대덕구,67302,106426,207549,176384,-15.02%
한국,울산광역시,중구,27018,61485,232915,217595,-6.58%
한국,울산광역시,남구,131308,178211,344131,320064,-6.99%
한국,울산광역시,동구,58535,72242,170764,156806,-8.17%
한국,울산광역시,북구,71161,105321,177488,219014,23.40%
한국,울산광역시,울주군,65679,126165,201000,222538,10.72%
한국,세종특별자치시,세종특별자치시,20852,139731,81871,355831,334.62%
한국,경기도,수원시,262197,477961,1077535,1186078,10.07%
한국,경기도,성남시,257717,515590,980190,940064,-4.09%
한국,경기도,의정부시,69877,131786,431801,461710,6.93%
한국,경기도,안양시,175953,267279,621714,550027,-11.53%
한국,경기도,부천시,202875,319739,875204,818383,-6.49%
한국,경기도,광명시,56398,102769,343982,298599,-13.19%
한국,경기도,평택시,136572,274148,419457,537307,28.10%
한국,경기도,동두천시,16596,30426,95653,94353,-1.36%
한국,경기도,안산시,225562,346903,714891,654915,-8.39%
한국,경기도,고양시,187421,371470,950115,1079216,13.59%
한국,경기도,과천시,22490,37188,72279,63231,-12.52%
한국,경기도,구리시,39581,68787,196398,197454,0.54%
한국,경기도,남양주시,78780,214083,564141,713321,26.44%
한국,경기도,오산시,32972,76578,182516,229725,25.87%
한국,경기도,시흥시,129706,241657,403797,500895,24.05%
한국,경기도,군포시,74867,112854,287833,273791,-4.88%
한국,경기도,의왕시,30060,57485,147443,163795,11.09%
한국,경기도,하남시,41081,106177,150479,293452,95.01%
한국,경기도,용인시,199221,408924,876550,1074176,22.55%
한국,경기도,파주시,96646,214917,355632,465617,30.93%
한국,경기도,이천시,68377,136690,202595,218388,7.80%
한국,경기도,안성시,61256,112557,177937,187012,5.10%
한국,경기도,김포시,84744,205301,238339,473970,98.86%
한국,경기도,화성시,238891,549663,505838,855248,69.08%
한국,경기도,광주시,80167,155841,249789,382054,52.95%
한국,경기도,양주시,52123,99762,196706,230359,17.11%
한국,경기도,포천시,55685,105735,158658,147274,-7.18%
한국,경기도,여주시,25051,57615,109250,111897,2.42%
한국,경기도,연천군,7251,21526,45177,43516,-3.68%
