CNTRY,admin1,admin2,fdac10,fdac20,pop10,pop20,rate
한국,서울특별시,종로구,6474,6270,170578,149384,-12.42%
한국,서울특별시,중구,13809,10274,132822,125240,-5.71%
한국,서울특별시,용산구,3996,3610,244853,230040,-6.05%
한국,서울특별시,성동구,3093,4511,309093,293556,-5.03%
한국,서울특별시,광진구,2692,2719,375463,346682,-7.67%
한국,서울특별시,동대문구,3763,4174,366786,342837,-6.53%
한국,서울특별시,중랑구,1776,1910,427455,394702,-7.66%
한국,서울특별시,성북구,1728,1889,488932,437153,-10.59%
한국,서울특별시,강북구,1266,1363,346520,308055,-11.10%
한국,서울특별시,도봉구,1155,1232,368298,325257,-11.69%
한국,서울특별시,노원구,1626,2061,611230,523037,-14.43%
한국,서울특별시,은평구,1794,1840,488109,479835,-1.70%
한국,서울특별시,서대문구,1395,1561,324541,312173,-3.81%
한국,서울특별시,마포구,3475,4402,391865,371890,-5.10%
한국,서울특별시,양천구,2266,2224,500001,454251,-9.15%
한국,서울특별시,강서구,3602,5251,574127,580185,1.06%
한국,서울특별시,구로구,5824,6764,423736,404408,-4.56%
한국,서울특별시,금천구,3810,5870,245195,231733,-5.49%
한국,서울특별시,영등포구,5679,5906,406833,379480,-6.72%
한국,서울특별시,동작구,1891,1766,402709,391220,-2.85%
한국,서울특별시,관악구,2050,2046,531434,495060,-6.84%
한국,서울특별시,서초구,6319,7376,434720,425126,-2.21%
한국,서울특별시,강남구,9433,12078,570095,539231,-5.41%
한국,서울특별시,송파구,7237,8648,685279,667960,-2.53%
한국,서울특별시,강동구,2526,2761,491871,459970,-6.49%
한국,부산광역시,중구,1827,1666,49442,41523,-16.02%
한국,부산광역시,서구,1320,1384,126040,108135,-14.21%
한국,부산광역시,동구,1457,1269,101514,88901,-12.42%
한국,부산광역시,영도구,613,764,146798,113342,-22.79%
한국,부산광역시,부산진구,3251,3184,395826,359886,-9.08%
한국,부산광역시,동래구,2289,1819,282779,270745,-4.26%
한국,부산광역시,남구,1289,1359,298458,267731,-10.30%
한국,부산광역시,북구,1226,1178,312218,283952,-9.05%
한국,부산광역시,해운대구,2406,3711,426729,402169,-5.76%
한국,부산광역시,사하구,1632,1664,358730,311757,-13.09%
한국,부산광역시,금정구,1720,1579,255419,232666,-8.91%
한국,부산광역시,강서구,858,2910,62594,137957,120.40%
한국,부산광역시,연제구,1305,1402,212696,209157,-1.66%
한국,부산광역시,수영구,1044,1052,178267,176894,-0.77%
한국,부산광역시,사상구,4307,4169,257843,212586,-17.55%
한국,부산광역시,기장군,502,1369,102557,174545,70.19%
한국,대구광역시,중구,2603,2432,77857,76547,-1.68%
한국,대구광역시,동구,1934,2729,337529,341920,1.30%
한국,대구광역시,서구,1881,2112,224618,170700,-24.00%
한국,대구광역시,남구,820,931,171197,146632,-14.35%
한국,대구광역시,북구,4167,4852,452505,440263,-2.71%
한국,대구광역시,수성구,2106,2040,461988,424314,-8.15%
한국,대구광역시,달서구,3265,3603,607083,558631,-7.98%
한국,대구광역시,달성군,784,1350,178899,259339,44.96%
한국,인천광역시,중구,916,1386,92890,139729,50.42%
한국,인천광역시,동구,935,1099,79663,62542,-21.49%
한국,인천광역시,남구/미추홀구,1816,2332,423876,404343,-4.61%
한국,인천광역시,연수구,1037,2538,279230,387450,38.76%
한국,인천광역시,남동구,3416,3738,473423,525354,10.97%
한국,인천광역시,부평구,2658,2842,567493,494962,-12.78%
한국,인천광역시,계양구,1496,1727,347810,296750,-14.68%
한국,인천광역시,서구,2097,3766,408068,542040,32.83%
한국,인천광역시,강화군,211,320,67104,69203,3.13%
한국,인천광역시,옹진군,61,85,18739,20455,9.16%
한국,광주광역시,동구,1310,1460,104449,102897,-1.49%
한국,광주광역시,서구,2721,3225,303219,296576,-2.19%
한국,광주광역시,남구,881,1089,216863,214579,-1.05%
한국,광주광역시,북구,3397,3640,466866,430431,-7.80%
한국,광주광역시,광산구,2259,3278,363239,405579,11.66%
한국,대전광역시,동구,1450,1667,248835,223021,-10.37%
한국,대전광역시,중구,1834,1906,265846,235550,-11.40%
한국,대전광역시,서구,2846,3571,499742,477880,-4.37%
한국,대전광역시,유성구,1795,2973,281692,351047,24.62%
한국,대전광역시,대덕구,1988,2291,207549,176384,-15.02%
한국,울산광역시,중구,1158,1075,232915,217595,-6.58%
한국,울산광역시,남구,3107,3113,344131,320064,-6.99%
한국,울산광역시,동구,656,532,170764,156806,-8.17%
한국,울산광역시,북구,897,1172,177488,219014,23.40%
한국,울산광역시,울주군,774,1255,201000,222538,10.72%
한국,세종특별자치시,세종특별자치시,374,1475,81871,355831,334.62%
한국,경기도,수원시,5839,7872,1077535,1186078,10.07%
한국,경기도,성남시,6021,8650,980190,940064,-4.09%
한국,경기도,의정부시,2211,2576,431801,461710,6.93%
한국,경기도,안양시,5707,6002,621714,550027,-11.53%
한국,경기도,부천시,4811,5739,875204,818383,-6.49%
한국,경기도,광명시,1967,2190,343982,298599,-13.19%
한국,경기도,평택시,2581,3540,419457,537307,28.10%
한국,경기도,동두천시,417,428,95653,94353,-1.36%
한국,경기도,안산시,4282,5102,714891,654915,-8.39%
한국,경기도,고양시,6140,9690,950115,1079216,13.59%
한국,경기도,과천시,658,520,72279,63231,-12.52%
한국,경기도,구리시,1710,2154,196398,197454,0.54%
한국,경기도,남양주시,2445,5089,564141,713321,26.44%
한국,경기도,오산시,924,1197,182516,229725,25.87%
한국,경기도,시흥시,3298,4898,403797,500895,24.05%
한국,경기도,군포시,1272,1720,287833,273791,-4.88%
한국,경기도,의왕시,618,1013,147443,163795,11.09%
한국,경기도,하남시,2122,3663,150479,293452,95.01%
한국,경기도,용인시,3731,7349,876550,1074176,22.55%
한국,경기도,파주시,1654,3493,355632,465617,30.93%
한국,경기도,이천시,1153,1679,202595,218388,7.80%
한국,경기도,안성시,942,1585,177937,187012,5.10%
한국,경기도,김포시,1577,3854,238339,473970,98.86%
한국,경기도,화성시,3417,6900,505838,855248,69.08%
한국,경기도,광주시,2105,3507,249789,382054,52.95%
한국,경기도,양주시,1122,1907,196706,230359,17.11%
한국,경기도,포천시,1166,1672,158658,147274,-7.18%
한국,경기도,여주시,648,917,109250,111897,2.42%
한국,경기도,연천군,187,246,45177,43516,-3.68%
한국,경기도,가평군,266,409,58890,62377,5.92%
한국,경기도,양평군,445,605,95833,118810,23.98%
한국,강원특별자치도,춘천시,1662,1921,269950,282765,4.75%
한국,강원특별자치도,원주시,2292,2878,314678,354376,12.62%
한국,강원특별자치도,강릉시,1560,1734,218503,213321,-2.37%
한국,강원특별자치도,동해시,646,691,95236,90593,-4.88%
한국,강원특별자치도,태백시,335,320,50864,42719,-16.01%
한국,강원특별자치도,속초시,590,716,84302,82665,-1.94%
한국,강원특별자치도,삼척시,339,415,72046,65243,-9.44%
한국,강원특별자치도,홍천군,352,467,69893,69242,-0.93%
한국,강원특별자치도,횡성군,199,336,44254,46472,5.01%
한국,강원특별자치도,영월군,163,248,40407,38662,-4.32%
한국,강원특별자치도,평창군,222,294,43622,41681,-4.45%
한국,강원특별자치도,정선군,141,195,41045,36870,-10.17%
한국,강원특별자치도,철원군,168,224,48928,44699,-8.64%
한국,강원특별자치도,화천군,68,118,24364,24857,2.02%
한국,강원특별자치도,양구군,84,131,21843,22278,1.99%
한국,강원특별자치도,인제군,132,221,31842,31694,-0.46%
한국,강원특별자치도,고성군,125,159,30112,26757,-11.14%
한국,강원특별자치도,양양군,157,243,27929,27946,0.06%
한국,충청북도,충주시,1234,1463,208481,210186,0.82%
한국,충청북도,제천시,1040,1146,137264,133018,-3.09%
한국,충청북도,통합청주시,5159,6024,808915,844993,4.46%
한국,충청북도,보은군,111,138,34956,32412,-7.28%
한국,충청북도,옥천군,232,327,54025,50527,-6.47%
한국,충청북도,영동군,164,232,50523,47475,-6.03%
한국,충청북도,진천군,289,511,62094,83718,34.82%
한국,충청북도,괴산군,119,171,36827,39393,6.97%
