CNTRY,admin1,admin2,hitech10,hitech20,pop10,pop20,rate
일본,Hokkaido,Sapporo-shi,4035,4612,1913545,1973395,3.13%
일본,Hokkaido,Hakodate-shi,428,465,279127,251084,-10.05%
일본,Hokkaido,Otaru-shi,139,135,131928,111299,-15.64%
일본,Hokkaido,Asahikawa-shi,511,525,347095,329306,-5.13%
일본,Hokkaido,Muroran-shi,139,118,94535,82383,-12.85%
일본,Hokkaido,Kushiro-shi,274,272,181169,165077,-8.88%
일본,Hokkaido,Obihiro-shi,338,379,168057,166536,-0.91%
일본,Hokkaido,Kitami-shi,172,168,125689,115480,-8.12%
일본,Hokkaido,Yubari-shi,5,4,10922,7334,-32.85%
일본,Hokkaido,Iwamizawa-shi,128,132,90145,79306,-12.02%
일본,Hokkaido,Abashiri-shi,73,63,40998,35759,-12.78%
일본,Hokkaido,Rumoi-shi,44,35,24457,20114,-17.76%
일본,Hokkaido,Tomakomai-shi,255,257,173320,170113,-1.85%
일본,Hokkaido,Wakkanai-shi,53,51,39595,33563,-15.23%
일본,Hokkaido,Bibai-shi,13,13,26034,20413,-21.59%
일본,Hokkaido,Ashibetsu-shi,10,4,16628,12555,-24.49%
일본,Hokkaido,Ebetsu-shi,109,119,123722,121056,-2.15%
일본,Hokkaido,Akabira-shi,5,5,12637,9698,-23.26%
일본,Hokkaido,Mombetsu-shi,32,38,24750,21215,-14.28%
일본,Hokkaido,Shibetsu-shi,27,26,21787,17858,-18.03%
일본,Hokkaido,Nayoro-shi,38,33,30591,27282,-10.82%
일본,Hokkaido,Mikasa-shi,3,2,10221,8040,-21.34%
일본,Hokkaido,Nemuro-shi,27,26,29201,24636,-15.63%
일본,Hokkaido,Chitose-shi,79,88,93604,97950,4.64%
일본,Hokkaido,Takikawa-shi,53,62,43170,39490,-8.52%
일본,Hokkaido,Sunagawa-shi,24,19,19056,16486,-13.49%
일본,Hokkaido,Utashinai-shi,1,0,4387,2989,-31.87%
일본,Hokkaido,Fukagawa-shi,38,37,23709,20039,-15.48%
일본,Hokkaido,Furano-shi,32,28,24259,21131,-12.89%
일본,Hokkaido,Noboribetsu-shi,44,37,51526,46391,-9.97%
일본,Hokkaido,Eniwa-shi,63,66,69384,70331,1.36%
일본,Hokkaido,Date-shi,34,39,36278,32826,-9.52%
일본,Hokkaido,Kitahiroshima-shi,56,62,60353,58171,-3.62%
일본,Hokkaido,Ishikari-shi,58,53,59449,56869,-4.34%
일본,Hokkaido,Hokuto-shi,41,50,48032,44302,-7.77%
일본,Hokkaido,Tobetsu-cho,17,17,18766,15916,-15.19%
일본,Hokkaido,Shinshinotsu-mura,0,0,3515,3044,-13.40%
일본,Hokkaido,Matsumae-cho,3,2,8748,6260,-28.44%
일본,Hokkaido,Fukushima-cho,2,5,5114,3794,-25.81%
일본,Hokkaido,Shiriuchi-cho,2,2,5074,4167,-17.88%
일본,Hokkaido,Kikonai-cho,7,5,5341,3832,-28.25%
일본,Hokkaido,Nanae-cho,20,20,28463,27686,-2.73%
일본,Hokkaido,Shikabe-cho,1,0,4767,3760,-21.12%
일본,Hokkaido,Mori-machi,17,17,17859,14338,-19.72%
일본,Hokkaido,Yakumo-cho,20,19,18896,15826,-16.25%
일본,Hokkaido,Oshamambe-cho,5,5,6386,5109,-20.00%
일본,Hokkaido,Esashi-cho,12,14,9004,7428,-17.50%
일본,Hokkaido,Kaminokuni-cho,3,1,5428,4306,-20.67%
일본,Hokkaido,Assabu-cho,4,3,4409,3592,-18.53%
일본,Hokkaido,Otobe-cho,3,2,4408,3403,-22.80%
일본,Hokkaido,Okushiri-cho,0,2,3033,2410,-20.54%
일본,Hokkaido,Imakane-cho,2,6,6186,5072,-18.01%
일본,Hokkaido,Setana-cho,4,5,9590,7398,-22.86%
일본,Hokkaido,Shimamaki-mura,1,2,1781,1356,-23.86%
일본,Hokkaido,Suttsu-cho,0,1,3443,2838,-17.57%
일본,Hokkaido,Kuromatsunai-cho,9,6,3250,2791,-14.12%
일본,Hokkaido,Rankoshi-cho,4,4,5292,4568,-13.68%
일본,Hokkaido,Niseko-cho,3,9,4823,5074,5.20%
일본,Hokkaido,Makkari-mura,0,1,2189,2045,-6.58%
일본,Hokkaido,Rusutsu-mura,0,1,2034,1911,-6.05%
일본,Hokkaido,Kimobetsu-cho,0,3,2490,2156,-13.41%
일본,Hokkaido,Kyogoku-cho,2,1,3811,2941,-22.83%
일본,Hokkaido,Kutchan-cho,32,32,15568,15129,-2.82%
일본,Hokkaido,Kyowa-cho,6,5,6428,5772,-10.21%
일본,Hokkaido,Iwanai-cho,15,16,14451,11648,-19.40%
일본,Hokkaido,Tomari-mura,8,5,1883,1569,-16.68%
일본,Hokkaido,Kamoenai-mura,0,0,1122,870,-22.46%
일본,Hokkaido,Shakotan-cho,0,0,2516,1831,-27.23%
일본,Hokkaido,Furubira-cho,0,0,3611,2745,-23.98%
일본,Hokkaido,Niki-cho,1,1,3800,3180,-16.32%
일본,Hokkaido,Yoichi-cho,22,17,21258,18000,-15.33%
일본,Hokkaido,Akaigawa-mura,0,0,1262,1165,-7.69%
일본,Hokkaido,Nanporo-cho,5,8,8778,7319,-16.62%
일본,Hokkaido,Naie-cho,4,6,6194,5120,-17.34%
일본,Hokkaido,Kamisunagawa-cho,0,0,4086,2841,-30.47%
일본,Hokkaido,Yuni-cho,4,4,5896,4822,-18.22%
일본,Hokkaido,Naganuma-cho,17,26,11691,10289,-11.99%
일본,Hokkaido,Kuriyama-cho,14,9,13340,11272,-15.50%
일본,Hokkaido,Tsukigata-cho,2,0,4859,3691,-24.04%
일본,Hokkaido,Urausu-cho,0,5,2206,1732,-21.49%
일본,Hokkaido,Shintotsukawa-cho,1,1,7249,6484,-10.55%
일본,Hokkaido,Moseushi-cho,3,2,3462,2693,-22.21%
일본,Hokkaido,Chippubetsu-cho,2,2,2730,2329,-14.69%
일본,Hokkaido,Uryu-cho,2,2,3049,2389,-21.65%
일본,Hokkaido,Hokuryu-cho,0,0,2193,1724,-21.39%
일본,Hokkaido,Numata-cho,2,4,3612,2909,-19.46%
일본,Hokkaido,Takasu-cho,6,10,7345,6567,-10.59%
일본,Hokkaido,Higashikagura-cho,6,9,9292,10127,8.99%
일본,Hokkaido,Tohma-cho,5,4,7087,6319,-10.84%
일본,Hokkaido,Pippu-cho,4,5,4042,3520,-12.91%
일본,Hokkaido,Aibetsu-cho,3,3,3328,2605,-21.72%
일본,Hokkaido,Kamikawa-cho,3,4,4532,3500,-22.77%
일본,Hokkaido,Higashikawa-cho,5,8,7859,8314,5.79%
일본,Hokkaido,Biei-cho,11,9,10956,9668,-11.76%
일본,Hokkaido,Kamifurano-cho,7,9,11545,10348,-10.37%
일본,Hokkaido,Nakafurano-cho,1,0,5477,4733,-13.58%
일본,Hokkaido,Minamifurano-cho,2,2,2814,2376,-15.57%
일본,Hokkaido,Shimukappu-mura,1,2,1394,1306,-6.31%
일본,Hokkaido,Wassamu-cho,4,3,3832,3192,-16.70%
일본,Hokkaido,Kembuchi-cho,2,1,3565,2926,-17.92%
일본,Hokkaido,Shimokawa-cho,1,5,3775,3126,-17.19%
일본,Hokkaido,Bifuka-cho,5,4,5178,4145,-19.95%
일본,Hokkaido,Otoineppu-mura,1,1,995,706,-29.05%
일본,Hokkaido,Nakagawa-cho,3,4,1907,1528,-19.87%
일본,Hokkaido,Horokanai-cho,2,2,1710,1370,-19.88%
일본,Hokkaido,Mashike-cho,1,2,5078,3908,-23.04%
일본,Hokkaido,Obira-cho,1,0,3717,2994,-19.45%
일본,Hokkaido,Tomamae-cho,1,3,3656,2936,-19.69%
일본,Hokkaido,Haboro-cho,7,7,7964,6548,-17.78%
일본,Hokkaido,Shosambetsu-mura,0,0,1369,1080,-21.11%
일본,Hokkaido,Embetsu-cho,1,4,3084,2520,-18.29%
일본,Hokkaido,Teshio-cho,3,3,3780,2950,-21.96%
일본,Hokkaido,Sarufutsu-mura,2,2,2825,2611,-7.58%
일본,Hokkaido,Hamatombetsu-cho,2,4,4168,3448,-17.27%
일본,Hokkaido,Nakatombetsu-cho,3,1,1974,1637,-17.07%
일본,Hokkaido,Esashi-cho,10,11,9125,7565,-17.10%
일본,Hokkaido,Toyotomi-cho,12,6,4378,3974,-9.23%
일본,Hokkaido,Rebun-cho,2,1,3078,2509,-18.49%
일본,Hokkaido,Rishiri-cho,0,1,2590,2004,-22.63%
일본,Hokkaido,Rishirifuji-cho,3,3,3037,2458,-19.06%
일본,Hokkaido,Horonobe-cho,10,5,2677,2371,-11.43%
일본,Hokkaido,Bihoro-cho,17,14,21575,18697,-13.34%
일본,Hokkaido,Tsubetsu-cho,6,6,5646,4373,-22.55%
일본,Hokkaido,Shari-cho,19,15,13045,11418,-12.47%
일본,Hokkaido,Kiyosato-cho,5,3,4551,3883,-14.68%
일본,Hokkaido,Koshimizu-cho,4,4,5358,4623,-13.72%
일본,Hokkaido,Kunneppu-cho,10,11,5435,4677,-13.95%
일본,Hokkaido,Oketo-cho,2,2,3428,2775,-19.05%
일본,Hokkaido,Saroma-cho,5,8,5892,4875,-17.26%
일본,Hokkaido,Engaru-cho,16,16,22265,19241,-13.58%
일본,Hokkaido,Yubetsu-cho,6,8,10041,8270,-17.64%
일본,Hokkaido,Takinoue-cho,1,1,3028,2421,-20.05%
일본,Hokkaido,Okoppe-cho,5,6,4301,3628,-15.65%
일본,Hokkaido,Nishiokoppe-mura,1,2,1135,1053,-7.22%
일본,Hokkaido,Omu-cho,5,5,4939,4199,-14.98%
일본,Hokkaido,Ozora-cho,11,13,7933,6775,-14.60%
일본,Hokkaido,Toyoura-cho,5,6,4528,3821,-15.61%
일본,Hokkaido,Sobetsu-cho,1,3,3232,2743,-15.13%
일본,Hokkaido,Shiraoi-cho,11,12,19376,16212,-16.33%
일본,Hokkaido,Atsuma-cho,6,4,4890,4432,-9.37%
일본,Hokkaido,Toyako-cho,18,15,10132,8442,-16.68%
일본,Hokkaido,Abira-cho,8,15,8726,7340,-15.88%
일본,Hokkaido,Mukawa-cho,12,8,9746,7651,-21.50%
일본,Hokkaido,Hidaka-cho,13,16,13615,11279,-17.16%
일본,Hokkaido,Biratori-cho,4,3,5596,4776,-14.65%
일본,Hokkaido,Niikappu-cho,9,10,5775,5309,-8.07%
일본,Hokkaido,Urakawa-cho,30,26,14389,12074,-16.09%
일본,Hokkaido,Samani-cho,3,3,5114,4043,-20.94%
일본,Hokkaido,Erimo-cho,3,3,5413,4374,-19.19%
일본,Hokkaido,Shinhidaka-cho,36,39,25419,21517,-15.35%
일본,Hokkaido,Otofuke-cho,44,47,45085,43576,-3.35%
일본,Hokkaido,Shihoro-cho,7,6,6416,5848,-8.85%
일본,Hokkaido,Kamishihoro-cho,9,11,5080,4778,-5.94%
일본,Hokkaido,Shikaoi-cho,7,5,5702,5266,-7.65%
일본,Hokkaido,Shintoku-cho,4,8,6653,5817,-12.57%
일본,Hokkaido,Shimizu-cho,12,11,9961,9094,-8.70%
일본,Hokkaido,Memuro-cho,19,16,18905,18048,-4.53%
일본,Hokkaido,Nakasatsunai-mura,5,5,4006,3884,-3.05%
일본,Hokkaido,Sarabetsu-mura,8,7,3391,3080,-9.17%
일본,Hokkaido,Taiki-cho,10,10,5977,5420,-9.32%
일본,Hokkaido,Hiroo-cho,7,9,7881,6387,-18.96%
일본,Hokkaido,Makubetsu-cho,22,27,26547,25766,-2.94%
일본,Hokkaido,Ikeda-cho,9,8,7527,6294,-16.38%
일본,Hokkaido,Toyokoro-cho,2,4,3394,3022,-10.96%
일본,Hokkaido,Hombetsu-cho,9,10,8275,6618,-20.02%
일본,Hokkaido,Ashoro-cho,15,12,7630,6563,-13.98%
일본,Hokkaido,Rikubetsu-cho,12,10,2650,2264,-14.57%
일본,Hokkaido,Urahoro-cho,4,5,5460,4387,-19.65%
일본,Hokkaido,Kushiro-cho,21,22,20526,19105,-6.92%
일본,Hokkaido,Akkeshi-cho,12,10,10630,8892,-16.35%
