CNTRY,admin1,admin2,GRDP10,GRDP20,pop10,pop20,rate
한국,서울특별시,종로구,25368342,33893980,170578,149384,-12.42%
한국,서울특별시,중구,50231606,56070505,132822,125240,-5.71%
한국,서울특별시,용산구,9458938,12824348,244853,230040,-6.05%
한국,서울특별시,성동구,7594800,12422960,309093,293556,-5.03%
한국,서울특별시,광진구,5470153,6451227,375463,346682,-7.67%
한국,서울특별시,동대문구,5883484,7399775,366786,342837,-6.53%
한국,서울특별시,중랑구,3558287,4750297,427455,394702,-7.66%
한국,서울특별시,성북구,4753282,6193208,488932,437153,-10.59%
한국,서울특별시,강북구,3523524,3356956,346520,308055,-11.10%
한국,서울특별시,도봉구,2590667,3499358,368298,325257,-11.69%
한국,서울특별시,노원구,4968064,6438328,611230,523037,-14.43%
한국,서울특별시,은평구,3522078,5076529,488109,479835,-1.70%
한국,서울특별시,서대문구,5792314,8611066,324541,312173,-3.81%
한국,서울특별시,마포구,12104724,20199596,391865,371890,-5.10%
한국,서울특별시,양천구,5789373,7012123,500001,454251,-9.15%
한국,서울특별시,강서구,7553259,16811352,574127,580185,1.06%
한국,서울특별시,구로구,10940921,13924846,423736,404408,-4.56%
한국,서울특별시,금천구,12415829,17221771,245195,231733,-5.49%
한국,서울특별시,영등포구,25966200,39433365,406833,379480,-6.72%
한국,서울특별시,동작구,5761951,6650824,402709,391220,-2.85%
한국,서울특별시,관악구,4832579,6138754,531434,495060,-6.84%
한국,서울특별시,서초구,24520928,36249662,434720,425126,-2.21%
한국,서울특별시,강남구,46732957,74260359,570095,539231,-5.41%
한국,서울특별시,송파구,17589054,30336592,685279,667960,-2.53%
한국,서울특별시,강동구,6357720,9317128,491871,459970,-6.49%
한국,부산광역시,중구,3296266,3551831,49442,41523,-16.02%
한국,부산광역시,서구,2587528,3414621,126040,108135,-14.21%
한국,부산광역시,동구,3537964,4098015,101514,88901,-12.42%
한국,부산광역시,영도구,2234458,2762062,146798,113342,-22.79%
한국,부산광역시,부산진구,6349962,8640684,395826,359886,-9.08%
한국,부산광역시,동래구,2966097,3989457,282779,270745,-4.26%
한국,부산광역시,남구,4348931,6155947,298458,267731,-10.30%
한국,부산광역시,북구,2470112,3031318,312218,283952,-9.05%
한국,부산광역시,해운대구,5491377,9128828,426729,402169,-5.76%
한국,부산광역시,사하구,5799795,7040858,358730,311757,-13.09%
한국,부산광역시,금정구,3787945,4367027,255419,232666,-8.91%
한국,부산광역시,강서구,8833731,13426281,62594,137957,120.40%
한국,부산광역시,연제구,3882405,6323236,212696,209157,-1.66%
한국,부산광역시,수영구,1931711,2770947,178267,176894,-0.77%
한국,부산광역시,사상구,6249204,6216501,257843,212586,-17.55%
한국,부산광역시,기장군,3063513,6368873,102557,174545,70.19%
한국,대구광역시,중구,,5409289,77857,76547,-1.68%
한국,대구광역시,동구,,7583912,337529,341920,1.30%
한국,대구광역시,서구,,3852826,224618,170700,-24.00%
한국,대구광역시,남구,,3099186,171197,146632,-14.35%
한국,대구광역시,북구,,10468227,452505,440263,-2.71%
한국,대구광역시,수성구,,8389760,461988,424314,-8.15%
