CNTRY,admin1,admin2,stdnt10,stdnt20,pop10,pop20,rate
한국,서울특별시,종로구,8266,5192,170578,149384,-12.42%
한국,서울특별시,중구,7417,4990,132822,125240,-5.71%
한국,서울특별시,용산구,10501,6870,244853,230040,-6.05%
한국,서울특별시,성동구,17202,10992,309093,293556,-5.03%
한국,서울특별시,광진구,20720,14257,375463,346682,-7.67%
한국,서울특별시,동대문구,18771,13157,366786,342837,-6.53%
한국,서울특별시,중랑구,22540,14554,427455,394702,-7.66%
한국,서울특별시,성북구,27639,20086,488932,437153,-10.59%
한국,서울특별시,강북구,16192,9913,346520,308055,-11.10%
한국,서울특별시,도봉구,23697,14540,368298,325257,-11.69%
한국,서울특별시,노원구,41767,25841,611230,523037,-14.43%
한국,서울특별시,은평구,28892,20400,488109,479835,-1.70%
한국,서울특별시,서대문구,17833,12988,324541,312173,-3.81%
한국,서울특별시,마포구,19851,14375,391865,371890,-5.10%
한국,서울특별시,양천구,32170,23985,500001,454251,-9.15%
한국,서울특별시,강서구,34373,26078,574127,580185,1.06%
한국,서울특별시,구로구,23065,18180,423736,404408,-4.56%
한국,서울특별시,금천구,13561,8339,245195,231733,-5.49%
한국,서울특별시,영등포구,20082,13537,406833,379480,-6.72%
한국,서울특별시,동작구,21065,15553,402709,391220,-2.85%
한국,서울특별시,관악구,24037,14410,531434,495060,-6.84%
한국,서울특별시,서초구,22564,22668,434720,425126,-2.21%
한국,서울특별시,강남구,26751,25905,570095,539231,-5.41%
한국,서울특별시,송파구,39897,31373,685279,667960,-2.53%
한국,서울특별시,강동구,27296,21353,491871,459970,-6.49%
한국,부산광역시,중구,2466,1254,49442,41523,-16.02%
한국,부산광역시,서구,5588,3677,126040,108135,-14.21%
한국,부산광역시,동구,4444,2524,101514,88901,-12.42%
한국,부산광역시,영도구,7047,3808,146798,113342,-22.79%
한국,부산광역시,부산진구,21348,14931,395826,359886,-9.08%
한국,부산광역시,동래구,14890,13073,282779,270745,-4.26%
한국,부산광역시,남구,15897,12484,298458,267731,-10.30%
한국,부산광역시,북구,19852,12712,312218,283952,-9.05%
한국,부산광역시,해운대구,28551,19600,426729,402169,-5.76%
한국,부산광역시,사하구,21186,14073,358730,311757,-13.09%
한국,부산광역시,금정구,13216,9608,255419,232666,-8.91%
한국,부산광역시,강서구,2722,10234,62594,137957,120.40%
한국,부산광역시,연제구,12046,9631,212696,209157,-1.66%
한국,부산광역시,수영구,8769,6100,178267,176894,-0.77%
한국,부산광역시,사상구,13499,8006,257843,212586,-17.55%
한국,부산광역시,기장군,5876,11812,102557,174545,70.19%
한국,대구광역시,중구,5130,4254,77857,76547,-1.68%
한국,대구광역시,동구,19755,16676,337529,341920,1.30%
한국,대구광역시,서구,11260,5445,224618,170700,-24.00%
한국,대구광역시,남구,7630,4251,171197,146632,-14.35%
한국,대구광역시,북구,34254,21942,452505,440263,-2.71%
한국,대구광역시,수성구,32048,23136,461988,424314,-8.15%
한국,대구광역시,달서구,44579,30392,607083,558631,-7.98%
한국,대구광역시,달성군,12892,16491,178899,259339,44.96%
한국,인천광역시,중구,6127,8455,92890,139729,50.42%
한국,인천광역시,동구,5041,3485,79663,62542,-21.49%
한국,인천광역시,남구/미추홀구,22456,17543,423876,404343,-4.61%
한국,인천광역시,연수구,20509,24137,279230,387450,38.76%
한국,인천광역시,남동구,31971,29286,473423,525354,10.97%
한국,인천광역시,부평구,36842,23670,567493,494962,-12.78%
한국,인천광역시,계양구,25054,14220,347810,296750,-14.68%
한국,인천광역시,서구,31427,33240,408068,542040,32.83%
한국,인천광역시,강화군,3098,2337,67104,69203,3.13%
한국,인천광역시,옹진군,736,555,18739,20455,9.16%
한국,광주광역시,동구,5817,3318,104449,102897,-1.49%
한국,광주광역시,서구,24459,16292,303219,296576,-2.19%
한국,광주광역시,남구,14861,13534,216863,214579,-1.05%
한국,광주광역시,북구,35113,23067,466866,430431,-7.80%
한국,광주광역시,광산구,35577,30208,363239,405579,11.66%
한국,대전광역시,동구,14467,10740,248835,223021,-10.37%
한국,대전광역시,중구,17756,11797,265846,235550,-11.40%
한국,대전광역시,서구,37092,26179,499742,477880,-4.37%
한국,대전광역시,유성구,24083,22814,281692,351047,24.62%
한국,대전광역시,대덕구,15615,8277,207549,176384,-15.02%
한국,울산광역시,중구,15192,11933,232915,217595,-6.58%
한국,울산광역시,남구,23708,16085,344131,320064,-6.99%
한국,울산광역시,동구,11282,10290,170764,156806,-8.17%
한국,울산광역시,북구,14919,15893,177488,219014,23.40%
한국,울산광역시,울주군,16577,13196,201000,222538,10.72%
한국,세종특별자치시,세종특별자치시,4989,29487,81871,355831,334.62%
한국,경기도,수원시,80152,67474,1077535,1186078,10.07%
한국,경기도,성남시,61069,45788,980190,940064,-4.09%
한국,경기도,의정부시,30522,22170,431801,461710,6.93%
한국,경기도,안양시,42082,27336,621714,550027,-11.53%
한국,경기도,부천시,56519,38989,875204,818383,-6.49%
한국,경기도,광명시,22495,17318,343982,298599,-13.19%
한국,경기도,평택시,32113,31602,419457,537307,28.10%
한국,경기도,동두천시,6471,4787,95653,94353,-1.36%
한국,경기도,안산시,55349,33219,714891,654915,-8.39%
한국,경기도,고양시,70053,54930,950115,1079216,13.59%
한국,경기도,과천시,5003,2882,72279,63231,-12.52%
한국,경기도,구리시,13959,9738,196398,197454,0.54%
한국,경기도,남양주시,41894,44660,564141,713321,26.44%
한국,경기도,오산시,13874,16481,182516,229725,25.87%
한국,경기도,시흥시,33600,30471,403797,500895,24.05%
한국,경기도,군포시,19997,14676,287833,273791,-4.88%
한국,경기도,의왕시,9436,7455,147443,163795,11.09%
한국,경기도,하남시,8674,16940,150479,293452,95.01%
한국,경기도,용인시,71751,68903,876550,1074176,22.55%
한국,경기도,파주시,24759,29154,355632,465617,30.93%
한국,경기도,이천시,15492,12879,202595,218388,7.80%
한국,경기도,안성시,12198,10657,177937,187012,5.10%
한국,경기도,김포시,17528,32551,238339,473970,98.86%
한국,경기도,화성시,43018,66535,505838,855248,69.08%
한국,경기도,광주시,17213,19933,249789,382054,52.95%
한국,경기도,양주시,14513,13384,196706,230359,17.11%
한국,경기도,포천시,10650,6334,158658,147274,-7.18%
한국,경기도,여주시,7074,5248,109250,111897,2.42%
한국,경기도,연천군,2481,1702,45177,43516,-3.68%
한국,경기도,가평군,3331,2449,58890,62377,5.92%
한국,경기도,양평군,4865,5086,95833,118810,23.98%
한국,강원특별자치도,춘천시,18649,14913,269950,282765,4.75%
