CNTRY,admin1,admin2,CITYID,ent10,ent20,pop10,pop20,rate
대한민국,서울특별시,종로구,KR01001,444,439,170578,149384,-12.42%
대한민국,서울특별시,중구,KR01002,310,221,132822,125240,-5.71%
대한민국,서울특별시,용산구,KR01003,176,161,244853,230040,-6.05%
대한민국,서울특별시,성동구,KR01004,196,220,309093,293556,-5.03%
대한민국,서울특별시,광진구,KR01005,333,278,375463,346682,-7.67%
대한민국,서울특별시,동대문구,KR01006,285,223,366786,342837,-6.53%
대한민국,서울특별시,중랑구,KR01007,286,235,427455,394702,-7.66%
대한민국,서울특별시,성북구,KR01008,279,252,488932,437153,-10.59%
대한민국,서울특별시,강북구,KR01009,257,171,346520,308055,-11.10%
대한민국,서울특별시,도봉구,KR01010,198,153,368298,325257,-11.69%
대한민국,서울특별시,노원구,KR01011,341,291,611230,523037,-14.43%
대한민국,서울특별시,은평구,KR01012,253,215,488109,479835,-1.70%
대한민국,서울특별시,서대문구,KR01013,232,209,324541,312173,-3.81%
대한민국,서울특별시,마포구,KR01014,426,466,391865,371890,-5.10%
대한민국,서울특별시,양천구,KR01015,331,272,500001,454251,-9.15%
대한민국,서울특별시,강서구,KR01016,425,426,574127,580185,1.06%
대한민국,서울특별시,구로구,KR01017,309,293,423736,404408,-4.56%
대한민국,서울특별시,금천구,KR01018,210,160,245195,231733,-5.49%
대한민국,서울특별시,영등포구,KR01019,410,346,406833,379480,-6.72%
대한민국,서울특별시,동작구,KR01020,351,263,402709,391220,-2.85%
대한민국,서울특별시,관악구,KR01021,496,323,531434,495060,-6.84%
대한민국,서울특별시,서초구,KR01022,543,574,434720,425126,-2.21%
대한민국,서울특별시,강남구,KR01023,826,897,570095,539231,-5.41%
대한민국,서울특별시,송파구,KR01024,654,562,685279,667960,-2.53%
대한민국,서울특별시,강동구,KR01025,411,275,491871,459970,-6.49%
대한민국,부산광역시,중구,KR02001,96,79,49442,41523,-16.02%
대한민국,부산광역시,서구,KR02002,88,64,126040,108135,-14.21%
대한민국,부산광역시,동구,KR02003,59,62,101514,88901,-12.42%
대한민국,부산광역시,영도구,KR02004,78,50,146798,113342,-22.79%
대한민국,부산광역시,부산진구,KR02005,264,276,395826,359886,-9.08%
대한민국,부산광역시,동래구,KR02006,226,187,282779,270745,-4.26%
대한민국,부산광역시,남구,KR02007,215,171,298458,267731,-10.30%
대한민국,부산광역시,북구,KR02008,192,143,312218,283952,-9.05%
대한민국,부산광역시,해운대구,KR02009,275,287,426729,402169,-5.76%
대한민국,부산광역시,사하구,KR02010,253,154,358730,311757,-13.09%
대한민국,부산광역시,금정구,KR02011,183,178,255419,232666,-8.91%
대한민국,부산광역시,강서구,KR02012,28,92,62594,137957,120.40%
대한민국,부산광역시,연제구,KR02013,133,121,212696,209157,-1.66%
대한민국,부산광역시,수영구,KR02014,117,121,178267,176894,-0.77%
대한민국,부산광역시,사상구,KR02015,176,131,257843,212586,-17.55%
대한민국,부산광역시,기장군,KR02016,26,91,102557,174545,70.19%
대한민국,대구광역시,중구,KR03001,98,148,77857,76547,-1.68%
대한민국,대구광역시,동구,KR03002,207,193,337529,341920,1.30%
대한민국,대구광역시,서구,KR03003,106,78,224618,170700,-24.00%
대한민국,대구광역시,남구,KR03004,95,139,171197,146632,-14.35%
대한민국,대구광역시,북구,KR03005,277,279,452505,440263,-2.71%
대한민국,대구광역시,수성구,KR03006,338,323,461988,424314,-8.15%
대한민국,대구광역시,달서구,KR03007,403,375,607083,558631,-7.98%
대한민국,대구광역시,달성군,KR03008,59,139,178899,259339,44.96%
대한민국,인천광역시,중구,KR04009,79,108,92890,139729,50.42%
대한민국,인천광역시,동구,KR04010,32,18,79663,62542,-21.49%
대한민국,인천광역시,연수구,KR04011,264,253,423876,404343,-4.61%
대한민국,인천광역시,남동구,KR04012,215,327,279230,387450,38.76%
대한민국,인천광역시,부평구,KR04013,320,283,473423,525354,10.97%
대한민국,인천광역시,계양구,KR04014,318,170,567493,494962,-12.78%
대한민국,인천광역시,서구,KR04015,182,299,347810,296750,-14.68%
대한민국,인천광역시,미추홀구,KR04016,236,262,408068,542040,32.83%
대한민국,인천광역시,강화군,KR04017,32,44,67104,69203,3.13%
대한민국,인천광역시,옹진군,KR04018,8,9,18739,20455,9.16%
대한민국,광주광역시,동구,KR05001,151,159,104449,102897,-1.49%
대한민국,광주광역시,서구,KR05002,291,268,303219,296576,-2.19%
대한민국,광주광역시,남구,KR05003,159,158,216863,214579,-1.05%
대한민국,광주광역시,북구,KR05004,548,345,466866,430431,-7.80%
대한민국,광주광역시,광산구,KR05005,271,297,363239,405579,11.66%
대한민국,대전광역시,동구,KR06006,139,115,248835,223021,-10.37%
대한민국,대전광역시,중구,KR06007,164,181,265846,235550,-11.40%
대한민국,대전광역시,서구,KR06008,424,366,499742,477880,-4.37%
대한민국,대전광역시,유성구,KR06009,230,247,281692,351047,24.62%
대한민국,대전광역시,대덕구,KR06010,121,111,207549,176384,-15.02%
대한민국,울산광역시,중구,KR07001,128,155,232915,217595,-6.58%
대한민국,울산광역시,남구,KR07002,325,284,344131,320064,-6.99%
대한민국,울산광역시,동구,KR07003,120,73,170764,156806,-8.17%
대한민국,울산광역시,북구,KR07004,90,110,177488,219014,23.40%
대한민국,울산광역시,울주군,KR07005,92,116,201000,222538,10.72%
대한민국,세종특별자치시,세종시,KR08001,50,230,81871,355831,334.62%
대한민국,경기도,수원시,KR09001,753,805,1077535,1186078,10.07%
대한민국,경기도,성남시,KR09002,779,749,980190,940064,-4.09%
대한민국,경기도,의정부시,KR09003,343,292,431801,461710,6.93%
대한민국,경기도,안양시,KR09004,492,429,621714,550027,-11.53%
대한민국,경기도,부천시,KR09005,629,503,875204,818383,-6.49%
대한민국,경기도,광명시,KR09006,207,185,343982,298599,-13.19%
대한민국,경기도,평택시,KR09007,288,301,419457,537307,28.10%
대한민국,경기도,동두천시,KR09008,53,52,95653,94353,-1.36%
대한민국,경기도,안산시,KR09009,498,426,714891,654915,-8.39%
대한민국,경기도,고양시,KR09010,811,830,950115,1079216,13.59%
대한민국,경기도,과천시,KR09011,39,52,72279,63231,-12.52%
대한민국,경기도,구리시,KR09012,172,146,196398,197454,0.54%
대한민국,경기도,남양주시,KR09013,259,390,564141,713321,26.44%
대한민국,경기도,오산시,KR09014,150,140,182516,229725,25.87%
대한민국,경기도,시흥시,KR09015,301,301,403797,500895,24.05%
대한민국,경기도,군포시,KR09016,177,202,287833,273791,-4.88%
대한민국,경기도,의왕시,KR09017,78,106,147443,163795,11.09%
대한민국,경기도,하남시,KR09018,107,211,150479,293452,95.01%
대한민국,경기도,용인시,KR09019,553,644,876550,1074176,22.55%
대한민국,경기도,파주시,KR09020,201,385,355632,465617,30.93%
대한민국,경기도,이천시,KR09021,132,160,202595,218388,7.80%
대한민국,경기도,안성시,KR09022,154,140,177937,187012,5.10%
대한민국,경기도,김포시,KR09023,188,298,238339,473970,98.86%
대한민국,경기도,화성시,KR09024,353,523,505838,855248,69.08%
대한민국,경기도,광주시,KR09025,168,225,249789,382054,52.95%
대한민국,경기도,양주시,KR09026,146,173,196706,230359,17.11%
대한민국,경기도,포천시,KR09027,115,99,158658,147274,-7.18%
