CNTRY,admin1,admin2,CITYID,grad10,grad20,pop10,pop20,rate
일본,Hokkaido,Sapporo-shi,JP01001,"250,223","321,030",1913545,1973395,3.13%
일본,Hokkaido,Hakodate-shi,JP01002,"21,988","25,207",279127,251084,-10.05%
일본,Hokkaido,Otaru-shi,JP01003,"10,884","11,443",131928,111299,-15.64%
일본,Hokkaido,Asahikawa-shi,JP01004,"30,002","34,875",347095,329306,-5.13%
일본,Hokkaido,Muroran-shi,JP01005,"7,137","7,672",94535,82383,-12.85%
일본,Hokkaido,Kushiro-shi,JP01006,"12,564","13,180",181169,165077,-8.88%
일본,Hokkaido,Obihiro-shi,JP01007,"13,294","16,568",168057,166536,-0.91%
일본,Hokkaido,Kitami-shi,JP01008,"9,496","10,565",125689,115480,-8.12%
일본,Hokkaido,Yubari-shi,JP01009,631,518,10922,7334,-32.85%
일본,Hokkaido,Iwamizawa-shi,JP01010,"7,614","7,987",90145,79306,-12.02%
일본,Hokkaido,Abashiri-shi,JP01011,"3,217","3,467",40998,35759,-12.78%
일본,Hokkaido,Rumoi-shi,JP01012,"1,795","1,697",24457,20114,-17.76%
일본,Hokkaido,Tomakomai-shi,JP01013,"11,873","14,300",173320,170113,-1.85%
일본,Hokkaido,Wakkanai-shi,JP01014,"2,334","2,672",39595,33563,-15.23%
일본,Hokkaido,Bibai-shi,JP01015,"1,455","1,503",26034,20413,-21.59%
일본,Hokkaido,Ashibetsu-shi,JP01016,808,776,16628,12555,-24.49%
일본,Hokkaido,Ebetsu-shi,JP01017,"14,437","17,242",123722,121056,-2.15%
일본,Hokkaido,Akabira-shi,JP01018,489,504,12637,9698,-23.26%
일본,Hokkaido,Mombetsu-shi,JP01019,"1,760","1,863",24750,21215,-14.28%
일본,Hokkaido,Shibetsu-shi,JP01020,"1,166","1,214",21787,17858,-18.03%
일본,Hokkaido,Nayoro-shi,JP01021,"1,912","2,241",30591,27282,-10.82%
일본,Hokkaido,Mikasa-shi,JP01022,436,550,10221,8040,-21.34%
