CNTRY,admin1,admin2,CITYID,hlth10,hlth20,pop10,pop20,rate
대한민국,서울특별시,종로구,KR01001,590,706,170578,149384,-12.42%
대한민국,서울특별시,중구,KR01002,581,734,132822,125240,-5.71%
대한민국,서울특별시,용산구,KR01003,401,515,244853,230040,-6.05%
대한민국,서울특별시,성동구,KR01004,516,748,309093,293556,-5.03%
대한민국,서울특별시,광진구,KR01005,746,896,375463,346682,-7.67%
대한민국,서울특별시,동대문구,KR01006,813,980,366786,342837,-6.53%
대한민국,서울특별시,중랑구,KR01007,726,1013,427455,394702,-7.66%
대한민국,서울특별시,성북구,KR01008,841,1005,488932,437153,-10.59%
대한민국,서울특별시,강북구,KR01009,619,799,346520,308055,-11.10%
대한민국,서울특별시,도봉구,KR01010,658,782,368298,325257,-11.69%
대한민국,서울특별시,노원구,KR01011,1235,1375,611230,523037,-14.43%
대한민국,서울특별시,은평구,KR01012,843,1157,488109,479835,-1.70%
대한민국,서울특별시,서대문구,KR01013,567,733,324541,312173,-3.81%
대한민국,서울특별시,마포구,KR01014,791,1145,391865,371890,-5.10%
대한민국,서울특별시,양천구,KR01015,887,1151,500001,454251,-9.15%
대한민국,서울특별시,강서구,KR01016,1080,1564,574127,580185,1.06%
대한민국,서울특별시,구로구,KR01017,757,1113,423736,404408,-4.56%
대한민국,서울특별시,금천구,KR01018,513,686,245195,231733,-5.49%
대한민국,서울특별시,영등포구,KR01019,874,1184,406833,379480,-6.72%
대한민국,서울특별시,동작구,KR01020,717,988,402709,391220,-2.85%
대한민국,서울특별시,관악구,KR01021,927,1111,531434,495060,-6.84%
대한민국,서울특별시,서초구,KR01022,1169,1518,434720,425126,-2.21%
대한민국,서울특별시,강남구,KR01023,2235,2901,570095,539231,-5.41%
대한민국,서울특별시,송파구,KR01024,1271,1811,685279,667960,-2.53%
대한민국,서울특별시,강동구,KR01025,947,1244,491871,459970,-6.49%
대한민국,부산광역시,중구,KR02001,176,222,49442,41523,-16.02%
대한민국,부산광역시,서구,KR02002,237,284,126040,108135,-14.21%
대한민국,부산광역시,동구,KR02003,263,372,101514,88901,-12.42%
대한민국,부산광역시,영도구,KR02004,216,288,146798,113342,-22.79%
대한민국,부산광역시,부산진구,KR02005,867,1200,395826,359886,-9.08%
대한민국,부산광역시,동래구,KR02006,569,778,282779,270745,-4.26%
대한민국,부산광역시,남구,KR02007,491,637,298458,267731,-10.30%
대한민국,부산광역시,북구,KR02008,534,709,312218,283952,-9.05%
대한민국,부산광역시,해운대구,KR02009,823,1035,426729,402169,-5.76%
대한민국,부산광역시,사하구,KR02010,593,780,358730,311757,-13.09%
대한민국,부산광역시,금정구,KR02011,462,588,255419,232666,-8.91%
대한민국,부산광역시,강서구,KR02012,56,302,62594,137957,120.40%
대한민국,부산광역시,연제구,KR02013,432,605,212696,209157,-1.66%
대한민국,부산광역시,수영구,KR02014,363,485,178267,176894,-0.77%
대한민국,부산광역시,사상구,KR02015,400,480,257843,212586,-17.55%
대한민국,부산광역시,기장군,KR02016,190,447,102557,174545,70.19%
대한민국,대구광역시,중구,KR03001,447,610,77857,76547,-1.68%
대한민국,대구광역시,동구,KR03002,609,976,337529,341920,1.30%
대한민국,대구광역시,서구,KR03003,437,529,224618,170700,-24.00%
대한민국,대구광역시,남구,KR03004,354,505,171197,146632,-14.35%
대한민국,대구광역시,북구,KR03005,826,1101,452505,440263,-2.71%
대한민국,대구광역시,수성구,KR03006,907,1135,461988,424314,-8.15%
대한민국,대구광역시,달서구,KR03007,1101,1447,607083,558631,-7.98%
대한민국,대구광역시,달성군,KR03008,314,611,178899,259339,44.96%
대한민국,인천광역시,중구,KR04009,171,305,92890,139729,50.42%
대한민국,인천광역시,동구,KR04010,149,210,79663,62542,-21.49%
대한민국,인천광역시,연수구,KR04011,726,869,423876,404343,-4.61%
대한민국,인천광역시,남동구,KR04012,410,1485,279230,387450,38.76%
대한민국,인천광역시,부평구,KR04013,835,1277,473423,525354,10.97%
대한민국,인천광역시,계양구,KR04014,1015,778,567493,494962,-12.78%
대한민국,인천광역시,서구,KR04015,543,1213,347810,296750,-14.68%
대한민국,인천광역시,미추홀구,KR04016,628,939,408068,542040,32.83%
대한민국,인천광역시,강화군,KR04017,107,166,67104,69203,3.13%
대한민국,인천광역시,옹진군,KR04018,15,28,18739,20455,9.16%
대한민국,광주광역시,동구,KR05001,323,433,104449,102897,-1.49%
대한민국,광주광역시,서구,KR05002,720,1030,303219,296576,-2.19%
대한민국,광주광역시,남구,KR05003,493,721,216863,214579,-1.05%
대한민국,광주광역시,북구,KR05004,1012,1326,466866,430431,-7.80%
대한민국,광주광역시,광산구,KR05005,875,1176,363239,405579,11.66%
대한민국,대전광역시,동구,KR06006,563,715,248835,223021,-10.37%
대한민국,대전광역시,중구,KR06007,672,811,265846,235550,-11.40%
대한민국,대전광역시,서구,KR06008,1337,1615,499742,477880,-4.37%
대한민국,대전광역시,유성구,KR06009,673,969,281692,351047,24.62%
대한민국,대전광역시,대덕구,KR06010,426,519,207549,176384,-15.02%
대한민국,울산광역시,중구,KR07001,371,514,232915,217595,-6.58%
대한민국,울산광역시,남구,KR07002,811,1014,344131,320064,-6.99%
대한민국,울산광역시,동구,KR07003,295,362,170764,156806,-8.17%
대한민국,울산광역시,북구,KR07004,311,474,177488,219014,23.40%
대한민국,울산광역시,울주군,KR07005,328,455,201000,222538,10.72%
대한민국,세종특별자치시,세종시,KR08001,153,863,81871,355831,334.62%
대한민국,경기도,수원시,KR09001,2291,3160,1077535,1186078,10.07%
대한민국,경기도,성남시,KR09002,1951,2780,980190,940064,-4.09%
대한민국,경기도,의정부시,KR09003,1068,1349,431801,461710,6.93%
대한민국,경기도,안양시,KR09004,1250,1582,621714,550027,-11.53%
대한민국,경기도,부천시,KR09005,1623,2162,875204,818383,-6.49%
대한민국,경기도,광명시,KR09006,652,808,343982,298599,-13.19%
대한민국,경기도,평택시,KR09007,743,1213,419457,537307,28.10%
대한민국,경기도,동두천시,KR09008,238,304,95653,94353,-1.36%
대한민국,경기도,안산시,KR09009,1504,1630,714891,654915,-8.39%
대한민국,경기도,고양시,KR09010,2074,2588,950115,1079216,13.59%
대한민국,경기도,과천시,KR09011,124,153,72279,63231,-12.52%
대한민국,경기도,구리시,KR09012,400,602,196398,197454,0.54%
대한민국,경기도,남양주시,KR09013,1015,1697,564141,713321,26.44%
대한민국,경기도,오산시,KR09014,368,588,182516,229725,25.87%
대한민국,경기도,시흥시,KR09015,801,1240,403797,500895,24.05%
대한민국,경기도,군포시,KR09016,559,736,287833,273791,-4.88%
대한민국,경기도,의왕시,KR09017,248,378,147443,163795,11.09%
대한민국,경기도,하남시,KR09018,308,658,150479,293452,95.01%
대한민국,경기도,용인시,KR09019,1593,2405,876550,1074176,22.55%
대한민국,경기도,파주시,KR09020,669,1101,355632,465617,30.93%
대한민국,경기도,이천시,KR09021,360,526,202595,218388,7.80%
대한민국,경기도,안성시,KR09022,407,487,177937,187012,5.10%
대한민국,경기도,김포시,KR09023,404,1102,238339,473970,98.86%
대한민국,경기도,화성시,KR09024,992,1957,505838,855248,69.08%
대한민국,경기도,광주시,KR09025,447,791,249789,382054,52.95%
대한민국,경기도,양주시,KR09026,435,613,196706,230359,17.11%
대한민국,경기도,포천시,KR09027,288,390,158658,147274,-7.18%
대한민국,경기도,여주군,KR09028,218,304,109250,111897,2.42%
대한민국,경기도,연천군,KR09029,82,121,45177,43516,-3.68%
대한민국,경기도,가평군,KR09030,120,170,58890,62377,5.92%
대한민국,경기도,양평군,KR09031,174,294,95833,118810,23.98%
대한민국,강원도,춘천시,KR10001,541,889,269950,282765,4.75%
대한민국,강원도,원주시,KR10002,709,1013,314678,354376,12.62%
대한민국,강원도,강릉시,KR10003,451,620,218503,213321,-2.37%
대한민국,강원도,동해시,KR10004,192,239,95236,90593,-4.88%
대한민국,강원도,태백시,KR10005,93,129,50864,42719,-16.01%
대한민국,강원도,속초시,KR10006,183,265,84302,82665,-1.94%
대한민국,강원도,삼척시,KR10007,114,183,72046,65243,-9.44%
대한민국,강원도,홍천군,KR10008,129,173,69893,69242,-0.93%
대한민국,강원도,횡성군,KR10009,77,122,44254,46472,5.01%
대한민국,강원도,영월군,KR10010,69,106,40407,38662,-4.32%
대한민국,강원도,평창군,KR10011,61,90,43622,41681,-4.45%
대한민국,강원도,정선군,KR10012,45,67,41045,36870,-10.17%
대한민국,강원도,철원군,KR10013,79,105,48928,44699,-8.64%
대한민국,강원도,화천군,KR10014,44,71,24364,24857,2.02%
대한민국,강원도,양구군,KR10015,39,51,21843,22278,1.99%
대한민국,강원도,인제군,KR10016,46,64,31842,31694,-0.46%
대한민국,강원도,고성군,KR10017,45,55,30112,26757,-11.14%
대한민국,강원도,양양군,KR10018,43,67,27929,27946,0.06%
대한민국,충청북도,청주시,KR11001,1857,2310,208481,210186,0.82%
