COUNTRY,ADMIN1,ADMIN2,CITYID,YEAR,DEPOP,POP,GRDP,RTL_CMP,FDAC_CMP,EMP,HT_CMP,GRAD,ELMTRY,WLT_CMP,ENT_CMP,BED
한국,서울특별시,종로구,KR01001,2010,1,170578,25368342,6474,6474,188541,900,5030,8266,590,444,2498
한국,서울특별시,중구,KR01002,2010,1,132822,50231606,13809,13809,332508,1716,3719,7417,581,310,1300
한국,서울특별시,용산구,KR01003,2010,1,244853,9458938,3996,3996,100372,368,3251,10501,401,176,799
한국,서울특별시,성동구,KR01004,2010,1,309093,7594800,3093,3093,110534,491,2182,17202,516,196,1817
한국,서울특별시,광진구,KR01005,2010,1,375463,5470153,2692,2692,94993,510,4682,20720,746,333,2174
한국,서울특별시,동대문구,KR01006,2010,1,366786,5883484,3763,3763,97180,323,3512,18771,813,285,3029
한국,서울특별시,중랑구,KR01007,2010,1,427455,3558287,1776,1776,59395,165,3961,22540,726,286,1619
한국,서울특별시,성북구,KR01008,2010,1,488932,4753282,1728,1728,71765,220,4909,27639,841,279,4960
한국,서울특별시,강북구,KR01009,2010,1,346520,3523524,1266,1266,46101,169,2212,16192,619,257,2518
한국,서울특별시,도봉구,KR01010,2010,1,368298,2590667,1155,1155,41092,186,3998,23697,658,198,1290
한국,서울특별시,노원구,KR01011,2010,1,611230,4968064,1626,1626,73390,209,11197,41767,1235,341,5494
한국,서울특별시,은평구,KR01012,2010,1,488109,3522078,1794,1794,51364,163,5427,28892,843,253,2514
한국,서울특별시,서대문구,KR01013,2010,1,324541,5792314,1395,1395,68763,179,2631,17833,567,232,4086
한국,서울특별시,마포구,KR01014,2010,1,391865,12104724,3475,3475,180104,1329,2780,19851,791,426,1225
한국,서울특별시,양천구,KR01015,2010,1,500001,5789373,2266,2266,81868,469,6440,32170,887,331,2166
한국,서울특별시,강서구,KR01016,2010,0,574127,7553259,3602,3602,129593,349,8795,34373,1080,425,2529
한국,서울특별시,구로구,KR01017,2010,1,423736,10940921,5824,5824,152923,817,4077,23065,757,309,3732
한국,서울특별시,금천구,KR01018,2010,1,245195,12415829,3810,3810,168494,1023,2674,13561,513,210,1449
한국,서울특별시,영등포구,KR01019,2010,1,406833,25966200,5679,5679,287551,1445,3867,20082,874,410,5004
한국,서울특별시,동작구,KR01020,2010,1,402709,5761951,1891,1891,79208,268,3209,21065,717,351,3277
한국,서울특별시,관악구,KR01021,2010,1,531434,4832579,2050,2050,73183,333,5149,24037,927,496,2392
한국,서울특별시,서초구,KR01022,2010,1,434720,24520928,6319,6319,370572,3900,5032,22564,1169,543,2230
한국,서울특별시,강남구,KR01023,2010,1,570095,46732957,9433,9433,612544,5133,9118,26751,2235,826,12269
한국,서울특별시,송파구,KR01024,2010,1,685279,17589054,7237,7237,217922,1335,8318,39897,1271,654,4521
한국,서울특별시,강동구,KR01025,2010,1,491871,6357720,2526,2526,86805,327,6083,27296,947,411,4645
한국,부산광역시,중구,KR02001,2010,1,49442,3296266,1827,1827,53901,183,1254,2466,176,96,1445
한국,부산광역시,서구,KR02002,2010,1,126040,2587528,1320,1320,30087,69,1530,5588,237,88,6760
